REFERENCE_YEAR,DISTRICT_NAME,DISTRICT_CODE,TALUKA_NAME,TALUKA_CODE,RICE,WHEAT,JOWAR,BAJRA,BARLEY,MAIZE,RAGI,OTHER_CEREALS,GRAM,TUR,UDID,MUNG,MASOOR,OTHER_PULSES,LINSEED_JAWAS,GROUNDNUTS,SUNFLOWER,SESAMUM,SOYABEAN,OTHER_OIL_SEEDS,SUGARCANE,COTTON,TAG,MESTA,TOBACCO,MEDICINAL,OTHER_SPICES,OTHER_CEREALS/_Missing
2010-11,Ahmadnagar,522,Akola,4201,17777,4919,376,19415,0,4045,1431,91,4914,182,327,238,0,425,0,1469,0,2,2589,667,161966,0,0,0,0,0,0,
2010-11,Ahmadnagar,522,Sangamner,4202,6,21887,8550,62917,0,22812,0,23,5234,529,46,391,0,95,0,357,2,4,9615,41,620090,154,0,0,0,0,0,
2010-11,Ahmadnagar,522,Kopargaon,4203,0,17943,840,5140,0,31993,0,88,7391,77,15,131,0,16,0,163,25,2,6950,0,1023237,8067,0,0,0,0,0,
2010-11,Ahmadnagar,522,Rahta,4204,0,8377,2393,11677,0,6243,0,4,4702,152,2,94,0,5,0,247,0,0,31981,0,946237,573,0,0,0,0,0,
2010-11,Ahmadnagar,522,Shrirampur,4205,0,19445,7180,6629,0,8598,0,34,6663,184,23,95,0,5,0,68,10,0,20044,0,745637,3894,0,0,0,0,0,
2010-11,Ahmadnagar,522,Nevasa,4206,0,32217,10231,15862,0,5810,0,4,7432,3245,8,140,0,11,0,241,19,4,4773,32,2962739,8313,0,0,0,0,0,
2010-11,Ahmadnagar,522,Shevgaon,4207,0,3935,11252,18121,0,359,0,8,3063,2322,21,186,0,76,19,54,15,25,152,398,428165,45689,0,0,0,0,0,
2010-11,Ahmadnagar,522,Pathardi,4208,0,16714,19786,31796,0,4519,0,4,6848,3499,316,266,0,10,138,38,155,20,9,341,502815,45097,0,0,0,0,0,
2010-11,Ahmadnagar,522,Nagar,4209,0,17250,61047,10124,0,6554,0,,6510,603,228,4401,0,23,0,106,179,2,1109,1075,106761,31,0,0,0,0,0,.
2010-11,Ahmadnagar,522,Rahuri,4210,0,39490,11247,14065,0,23167,0,0,12496,358,15,1341,0,0,3,214,87,14,13680,86,961368,3483,0,0,0,0,0,
2010-11,Ahmadnagar,522,Parner,4211,0,12861,60778,17757,0,8738,0,0,4688,516,223,4365,0,3760,28,21,17,4,370,342,579250,0,0,0,0,0,0,
2010-11,Ahmadnagar,522,Shrigonda,4212,0,23820,48407,3169,0,10028,0,42,3112,277,8,452,0,321,14,16,428,4,55,14,2823830,216,0,0,0,0,0,
2010-11,Ahmadnagar,522,Karjat,4213,0,11587,56325,8653,0,21999,0,28,3885,433,419,1008,0,0,3,88,1001,0,555,1750,496257,5195,0,0,0,0,0,
2010-11,Ahmadnagar,522,Jamkhed,4214,0,6060,68943,2538,0,3861,0,116,4747,2165,7410,1921,0,630,61,0,475,832,39,100,76281,14844,0,0,0,0,0,
