REFERENCE_YEAR,DISTRICT_NAME,DISTRICT_CODE,TALUKA_NAME,TALUKA_CODE,RICE,WHEAT,JOWAR,BAJRA/_Missing,BARLEY/_Missing,MAIZE/_Missing,RAGI/_Missing,OTHER_CEREALS/_Missing,GRAM,TUR,UDID,MUNG/_Missing,MASOOR/_Missing,OTHER_PULSES,LINSEED_JAWAS/_Missing,GROUNDNUTS/_Missing,SUNFLOWER/_Missing,SESAMUM/_Missing,SOYABEAN/_Missing,OTHER_OIL_SEEDS,SUGARCANE/_Missing,COTTON,TAG/_Missing,MESTA/_Missing,TOBACCO/_Missing,MEDICINAL/_Missing,OTHER_SPICES/_Missing,MUNG,RICE/_Missing,UDID/_Missing
2010-11,Amravati,503,Dharni,4001,1613,4003,3361,.,.,.,.,.,7673,2649,242,.,.,0,.,.,.,.,.,70569,.,370,.,.,.,.,.,,,
2010-11,Amravati,503,Chikhaldara,4002,1253,2201,3841,.,.,.,.,.,788,2208,155,,.,0,.,.,.,.,.,19637,.,375,.,.,.,.,.,635,,
2010-11,Amravati,503,Anjangaon Surji,4003,,6600,3346,.,.,.,.,.,2791,3598,166,,.,0,.,.,.,.,.,28692,.,3570,.,.,.,.,.,3637,.,
2010-11,Amravati,503,Achalpur,4004,,7744,8425,.,.,.,.,.,2488,4967,231,,.,0,.,.,.,.,.,16704,.,5405,.,.,.,.,.,237,.,
2010-11,Amravati,503,Chandurbazar,4005,,2954,6247,.,.,.,.,.,2768,6201,137,,.,0,.,.,.,.,.,37134,.,4320,.,.,.,.,.,1313,.,
2010-11,Amravati,503,Morshi,4006,,11096,2675,.,.,.,.,.,3599,5993,44,,.,0,.,.,.,.,.,23705,.,7818,.,.,.,.,.,127,.,
2010-11,Amravati,503,Worud,4007,,6777,4193,.,.,.,.,.,1485,4655,,.,.,0,.,.,.,.,.,6753,.,5193,.,.,.,.,.,,.,.
2010-11,Amravati,503,Teosa,4008,,6161,879,.,.,.,.,.,3111,3589,49,,.,0,.,.,.,.,.,29845,.,4708,.,.,.,.,.,402,.,
2010-11,Amravati,503,Amravati,4009,,4052,4797,.,.,.,.,.,5891,6382,630,,.,0,.,.,.,.,.,46872,.,384,.,.,.,.,.,3058,.,
2010-11,Amravati,503,Bhatkuli,4010,,458,2122,.,.,.,.,.,12729,4710,,,.,0,.,.,.,.,.,38111,.,2528,.,.,.,.,.,4346,.,.
2010-11,Amravati,503,Daryapur,4011,,1012,8392,.,.,.,.,.,38414,5576,18,,.,0,.,.,.,.,.,2837,.,6269,.,.,.,.,.,15407,.,
2010-11,Amravati,503,Nandgaon-Khandeshwar,4012,,4749,1730,.,.,.,.,.,2611,5602,528,,.,0,.,.,.,.,.,47801,.,4093,.,.,.,.,.,1178,.,
2010-11,Amravati,503,Chandur Railway,4013,,3850,1526,.,.,.,.,.,848,4638,143,,.,0,.,.,.,.,.,25783,.,5010,.,.,.,.,.,1434,.,
2010-11,Amravati,503,Dhamangaon Railway,4014,,11574,1658,.,.,.,.,.,2751,3979,21,,.,0,.,.,.,.,.,30878,.,5497,.,.,.,.,.,289,.,
