REFERENCE_YEAR,DISTRICT_NAME,DISTRICT_CODE,TALUKA_NAME,TALUKA_CODE,RICE,WHEAT,JOWAR,BAJRA,BARLEY,MAIZE,RAGI,OTHER_CEREALS,GRAM,TUR,UDID,MUNG,MASOOR/_Missing,OTHER_PULSES/_Missing,LINSEED_JAWAS,GROUNDNUTS,SUNFLOWER,SESAMUM,SOYABEAN,OTHER_OIL_SEEDS,SUGARCANE,COTTON,TAG/_Missing,MESTA/_Missing,TOBACCO/_Missing,MEDICINAL/_Missing,OTHER_SPICES/_Missing
2010-11,Beed,523,Aashti,4215,0,4416,55467,11003,0,1710,0,0,2815,2600,6660,1788,.,.,30,469,642,19,542,0,80,957,.,.,.,.,.
2010-11,Beed,523,Patoda,4216,0,2668,14786,21061,0,115,0,0,1288,2048,1807,918,.,.,56,148,129,45,2369,0,71,1009,.,.,.,.,.
2010-11,Beed,523,Shirur,4217,0,4430,13257,5421,0,88,0,0,1496,1941,756,138,.,.,0,85,149,71,351,0,121,1517,.,.,.,.,.
2010-11,Beed,523,Georai,4218,0,29652,34065,12758,0,990,0,0,13456,4104,0,1757,.,.,0,652,124,0,235,0,92,981,.,.,.,.,.
2010-11,Beed,523,Manjlegaon,4219,0,17273,16459,8484,0,0,0,0,7291,5623,0,223,.,.,50,0,48,222,934,0,54,624,.,.,.,.,.
2010-11,Beed,523,Wadwani,4220,0,1229,652,5864,0,0,0,0,428,2045,0,0,.,.,0,0,156,54,372,0,37,942,.,.,.,.,.
2010-11,Beed,523,Beed,4221,0,13305,34121,17700,0,570,0,0,6450,1777,2649,1805,.,.,0,558,715,217,913,0,104,726,.,.,.,.,.
2010-11,Beed,523,Kaij,4222,0,9346,5861,6291,0,541,0,0,4832,4032,1030,527,.,.,94,101,628,59,13600,0,79,869,.,.,.,.,.
2010-11,Beed,523,Dharur,4223,0,3057,1005,12213,0,0,0,0,612,990,43,59,.,.,29,0,450,28,2112,0,82,868,.,.,.,.,.
2010-11,Beed,523,Parli,4224,0,5821,2777,3768,0,490,0,0,3545,2426,0,628,.,.,20,254,63,20,16097,0,54,847,.,.,.,.,.
2010-11,Beed,523,Ambejogai,4225,0,6367,5271,2835,0,1649,0,0,6685,6045,412,458,.,.,36,93,189,59,48690,0,67,757,.,.,.,.,.
