REFERENCE_YEAR,DISTRICT_NAME,DISTRICT_CODE,TALUKA_NAME,TALUKA_CODE,RICE,WHEAT,JOWAR,BAJRA,BARLEY,MAIZE,RAGI,OTHER_CEREALS,GRAM,TUR,UDID,MUNG,MASOOR,OTHER_PULSES,LINSEED_JAWAS,GROUNDNUTS,SUNFLOWER,SESAMUM,SOYABEAN,OTHER_OIL_SEEDS,SUGARCANE,COTTON,TAG,MESTA,TOBACCO,MEDICINAL,OTHER_SPICES
2010-11,Buldana,500,Jalgaon (Jamod),3975,0,1906,3815,0,0,2222,0,0,496,2764,2604,2976,0,0,0,164,0,141,9898,0,0,29946,0,0,0,0,0
2010-11,Buldana,500,Sangrampur,3976,0,7892,9582,0,0,3744,0,0,1245,1972,1909,2848,0,0,0,0,0,179,4495,0,0,35901,0,0,0,18,4029
2010-11,Buldana,500,Shegaon,3977,0,1965,5624,0,0,1110,0,0,1599,2682,1692,2462,0,0,0,0,0,130,4724,0,0,36019,0,0,0,0,52.4
2010-11,Buldana,500,Nandura,3978,0,9758,4126,0,0,9483,0,0,1623,2902,1209,1286,0,0,0,0,0,0,10181,0,0,43374,0,0,0,3.5,279.8
2010-11,Buldana,500,Malkapur,3979,0,3760,6456,0,0,12292,0,0,1367,2034,665,808,0,0,0,0,0,59,4339,0,0,41480,0,0,0,0,2405.45
2010-11,Buldana,500,Motala,3980,0,2444,5112,0,0,10920,0,0,759,4396,1031,1575,0,0,0,0,0,76,4042,0,0,50848,0,0,0,0,100
2010-11,Buldana,500,Khamgaon,3981,0,16650,16600,0,0,5531,0,0,5704,4851,4024,3804,0,0,0,491,0,102,25350,0,0,52789,0,0,0,3.51,33184
2010-11,Buldana,500,Mehkar,3982,0,17222,3526,0,0,1821,0,0,36574,4309,8115,7343,0,0,0,0,0,4,70547,0,0,18120,0,0,0,0,1325.15
2010-11,Buldana,500,Chikhli,3983,0,17008,2669,0,0,8159,0,0,8159,6864,4669,5017,0,0,0,0,0,0,89102,0,0,25405,0,0,0,0,912
2010-11,Buldana,500,Buldana,3984,0,11558,2657,0,0,25631,0,0,14107,2808,1941,966,0,0,0,0,0,24,74831,0,0,15669,0,0,0,0.13,164.08
2010-11,Buldana,500,Deolgaon Raja,3985,0,12115,1021,0,0,12263,0,0,1948,1201,1506,1356,0,0,0,0,0,18,15613,0,0,33740,0,0,0,0,0
2010-11,Buldana,500,Sindkhed Raja,3986,0,13704,2724,0,0,1575,0,0,2995,3489,1614,1908,0,0,0,0,0,0,53948,0,0,44110,0,0,0,0,1730.84
2010-11,Buldana,500,Lonar,3987,0,11664,4095,0,0,398,0,0,7654,2349,3382,4530,0,0,0,0,0,7,56628,0,0,7438,0,0,0,0,1664.18
