REFERENCE_YEAR,DISTRICT_NAME,DISTRICT_CODE,TALUKA_NAME,TALUKA_CODE,RICE,WHEAT,JOWAR,BAJRA,BARLEY,MAIZE,RAGI,OTHER_CEREALS,GRAM,TUR,UDID,MUNG,MASOOR,OTHER_PULSES,LINSEED_JAWAS,GROUNDNUTS,SUNFLOWER,SESAMUM,SOYABEAN,OTHER_OIL_SEEDS,SUGARCANE,COTTON,TAG,MESTA,TOBACCO,MEDICINAL,OTHER_SPICES
2010-11,Latur,524,Latur,4226,10,6514,143,3,0,0,0,0,7673,66,55,11,0,0,0,1,2,1,745,0,100.05,0,0,0,0,0,0
2010-11,Latur,524,Renapur,4227,2,6187,115,1,0,0,0,0,7691,56,9,8,0,0,0,1,1,1,459,0,170.1,9,0,0,0,0,0
2010-11,Latur,524,Ahmedpur,4228,0,5744,367,5,0,0,0,0,4472,227,6,20,0,0,0,2,6,1,599,0,30,72,0,0,0,0,0
2010-11,Latur,524,Jalkot,4229,4,6807,357,4,0,0,0,0,6307,234,64,14,0,0,0,3,5,2,207,0,9,7,0,0,0,0,0
2010-11,Latur,524,Chakur,4230,7,877,110,0,0,0,0,0,726,71,10,15,0,0,0,0,2,0,468,0,73,0,0,0,0,0,0
2010-11,Latur,524,Shirur Anantpal,4231,3,3298,56,1,0,0,0,0,4735,60,18,11,0,0,0,0,1,1,217,0,156.2,0,0,0,0,0,0
2010-11,Latur,524,Ausa,4232,7,1424,212,7,0,0,0,0,13041,163,106,27,0,0,0,3,4,1,525,0,580.8,0,0,0,0,0,0
2010-11,Latur,524,Nilanga,4233,4,10603,118,2,0,0,0,0,9324,59,71,23,0,0,0,1,2,1,599,0,377.6,0,0,0,0,0,0
2010-11,Latur,524,Deoni,4234,4,977,126,4,0,0,0,0,3546,95,59,19,0,0,0,1,2,0,193,0,111,0,0,0,0,0,0
2010-11,Latur,524,Udgir,4235,4,3862,186,1,0,0,0,0,6718,105,35,21,0,0,0,1,20,0,224,0,335,1,0,0,0,0,0
