REFERENCE_YEAR,DISTRICT_NAME,DISTRICT_CODE,TALUKA_NAME,TALUKA_CODE,RICE,WHEAT,JOWAR,BAJRA/_Missing,BARLEY/_Missing,MAIZE/_Missing,RAGI/_Missing,OTHER_CEREALS/_Missing,GRAM,TUR,UDID,MUNG,MASOOR/_Missing,OTHER_PULSES/_Missing,LINSEED_JAWAS,GROUNDNUTS,SUNFLOWER/_Missing,SESAMUM/_Missing,SOYABEAN,OTHER_OIL_SEEDS,SUGARCANE/_Missing,COTTON,TAG/_Missing,MESTA/_Missing,TOBACCO/_Missing,MEDICINAL/_Missing,OTHER_SPICES/_Missing
2008-09,Nagpur,505,Narkhed,4023,0,3942,1979,.,.,.,.,.,6432,2886,76,114,.,.,0,1241,.,.,24784,0,.,874,.,.,.,.,.
2008-09,Nagpur,505,Katol,4024,0,3480,2071,.,.,.,.,.,7626,4695,56,38,.,.,0,2454,.,.,34689,0,.,910,.,.,.,.,.
2008-09,Nagpur,505,Kalameshwar,4025,0,1974,1922,.,.,.,.,.,2716,4341,0,0,.,.,0,0,.,.,14245,0,.,1332,.,.,.,.,.
2008-09,Nagpur,505,Savner,4026,0,961,2486,.,.,.,.,.,1558,3332,0,0,.,.,0,155,.,.,17614,0,.,2300,.,.,.,.,.
2008-09,Nagpur,505,Parseoni,4027,13146,8914,0,.,.,.,.,.,3344,3269,0,0,.,.,0,0,.,.,10152,0,.,1210,.,.,.,.,.
2008-09,Nagpur,505,Ramtek,4028,30644,6206,238,.,.,.,.,.,2086,1202,0,0,.,.,7,0,.,.,2113,0,.,311,.,.,.,.,.
2008-09,Nagpur,505,Mauda,4029,64871,13749,0,.,.,.,.,.,3101,0,0,0,.,.,0,0,.,.,18029,0,.,0,.,.,.,.,.
2008-09,Nagpur,505,Kamptee,4030,5991,3698,23,.,.,.,.,.,1682,474,0,0,.,.,0,0,.,.,13771,0,.,143,.,.,.,.,.
2008-09,Nagpur,505,Nagpur (Rural),4031,0,2714,119,.,.,.,.,.,3132,3141,0,0,.,.,0,0,.,.,12341,0,.,783,.,.,.,.,.
2008-09,Nagpur,505,Nagpur (Urban),4032,0,0,0,.,.,.,.,.,0,0,0,0,.,.,0,0,.,.,0,0,.,0,.,.,.,.,.
2008-09,Nagpur,505,Hingna,4033,0,1628,1800,.,.,.,.,.,1558,2822,0,0,.,.,0,0,.,.,12948,0,.,2486,.,.,.,.,.
2008-09,Nagpur,505,Umred,4034,3319,3988,137,.,.,.,.,.,4879,1816,0,0,.,.,10,0,.,.,28117,0,.,56,.,.,.,.,.
2008-09,Nagpur,505,Kuhi,4035,9076,5334,180,.,.,.,.,.,3682,613,0,0,.,.,126,0,.,.,35034,0,.,0,.,.,.,.,.
2008-09,Nagpur,505,Bhiwapur,4036,3709,7408,530,.,.,.,.,.,3342,627,64,53,.,.,159,0,.,.,29786,0,.,20,.,.,.,.,.
