REFERENCE_YEAR,DISTRICT_NAME,DISTRICT_CODE,TALUKA_NAME,TALUKA_CODE,RICE,WHEAT,JOWAR,BAJRA,BARLEY,MAIZE,RAGI,OTHER_CEREALS,GRAM,TUR,UDID,MUNG,MASOOR,OTHER_PULSES,LINSEED_JAWAS,GROUNDNUTS,SUNFLOWER,SESAMUM,SOYABEAN,OTHER_OIL_SEEDS,SUGARCANE,COTTON,TAG,MESTA,TOBACCO,MEDICINAL,OTHER_SPICES
2010-11,Nanded,511,Mahoor,4095,18.1,94.95,3830.5,0,0,0,0,0,52.2,69.3,20.58,48.72,0,0,0,0,0,0,2898.5,0,916,2242.5,0,0,0,0,0
2010-11,Nanded,511,Kinwat,4096,47.78,169.5,5213,0,0,0,0,0,75.75,276.46,67.8,96.2,0,0,0,0,0,0,2903.2,0,815,2023,0,0,0,0,0
2010-11,Nanded,511,Himayatnagar,4097,6.09,570.9,913.5,0,0,0,0,0,81.6,218.95,45.36,17.15,0,0,0,0,0,0,1197.48,0,640,2451.15,0,0,0,0,0
2010-11,Nanded,511,Hadgaon,4098,13.37,144.4,8200.4,0,0,0,0,0,486.35,211.05,147.24,198.18,0,0,0,0,0,0,1323,0,1130,2447.6,0,0,0,0,0
2010-11,Nanded,511,Ardhapur,4099,3.77,800.25,205.3,0,0,0,0,0,112.8,109.8,31.25,21.78,0,0,0,0,0,0,726.62,0,685,573.3,0,0,0,0,0
2010-11,Nanded,511,Nanded,4100,7.87,957.38,560,0,0,0,0,0,616.2,165,70.07,18.45,0,0,0,0,0,0,1484.56,0,1780,865.1,0,0,0,0,0
2010-11,Nanded,511,Mudkhed,4101,1.92,278.85,172,0,0,0,0,0,112.1,94.05,22.95,17.25,0,0,0,0,0,0,553.52,0,1530,304.87,0,0,0,0,0
2010-11,Nanded,511,Bhokar,4102,3.51,309.4,103.5,0,0,0,0,0,60.6,144.5,47.34,37.8,0,0,0,0,0,0,1072.8,0,440,1002.56,0,0,0,0,0
2010-11,Nanded,511,Umri,4103,6.67,95.85,1105,0,0,0,0,0,72.6,131.4,97.8,31.36,0,0,0,0,0,0,1215.82,0,1590,574.56,0,0,0,0,0
2010-11,Nanded,511,Dharmabad,4104,67.25,109.2,190,0,0,0,0,0,179.4,133.5,439.45,178.35,0,0,0,0,0,0,698,0,1180,1035,0,0,0,0,0
2010-11,Nanded,511,Biloli,4105,51.2,139.7,478,0,0,0,0,0,172.7,371.67,755.22,353.09,0,0,0,0,0,0,756.42,0,935,1046.22,0,0,0,0,0
2010-11,Nanded,511,Naigaon (Khairgaon),4106,41.29,547.6,210,0,0,0,0,0,144.9,85.75,614.25,137.34,0,0,0,0,0,0,2678.57,0,835,1169.55,0,0,0,0,0
2010-11,Nanded,511,Loha,4107,84.6,386.4,315,0,0,0,0,0,70.7,548.97,87.45,72.45,0,0,0,0,0,0,2627.92,0,610,1428.33,0,0,0,0,0
2010-11,Nanded,511,Kandhar,4108,14.16,315.6,370,0,0,0,0,0,46.35,495.55,208.61,112.68,0,0,0,0,0,0,1745.8,0,310,1536.12,0,0,0,0,0
2010-11,Nanded,511,Mukhed,4109,71.5,171.1,1480,0,0,0,0,0,91.57,636.48,705.6,385.32,0,0,0,0,0,0,1194.15,0,390,1432.08,0,0,0,0,0
2010-11,Nanded,511,Deglur,4110,63.96,158.7,730,0,0,0,0,0,82.8,230.86,690.08,422.79,0,0,0,0,0,0,1031.68,0,630,1471.75,0,0,0,0,0
