REFERENCE_YEAR,DISTRICT_NAME,DISTRICT_CODE,TALUKA_NAME,TALUKA_CODE,RICE,WHEAT,JOWAR,BAJRA,BARLEY,MAIZE,RAGI,OTHER_CEREALS,GRAM,TUR,UDID,MUNG,MASOOR,OTHER_PULSES,LINSEED_JAWAS,GROUNDNUTS,SUNFLOWER,SESAMUM,SOYABEAN,OTHER_OIL_SEEDS,SUGARCANE,COTTON,TAG,MESTA,TOBACCO,MEDICINAL,OTHER_SPICES
2008-09,Nashik,516,Surgana,4142,7300,2300,30,0,0,35,8500,2500,0,400,3000,0,0,2100,0,1600,0,0,150,0,10,0,0,0,0,0,0
2008-09,Nashik,516,Kalvan,4143,3100,8835,30,9885,0,10102,788,1698,0,149,1481,1030,0,674,0,1947,7,11,1647,7,475,0,0,0,0,0,0
2008-09,Nashik,516,Deola,4144,0,796,10,11330,0,6935,0,0,0,18,15,20,0,120,0,210,5,3,18,0,1218,0,0,0,0,0,0
2008-09,Nashik,516,Baglan,4145,1800,5780,129,28750,0,21430,1730,1344,0,410,263,137,0,2330,0,468,37,2,415,15,18180,167,0,0,0,0,0
2008-09,Nashik,516,Malegaon,4146,100,4100,0,39600,0,16700,0,50,0,520,0,20,0,1850,0,1760,7,0,210,0,18,6610,0,0,0,0,0
2008-09,Nashik,516,Nandgaon,4147,100,2510,5,33712,0,7484,0,0,0,236,15,132,0,4118,0,1123,0,0,78,0,794,7800,0,0,0,0,0
2008-09,Nashik,516,Chandvad,4148,100,4720,110,36200,0,5200,0,30,0,290,800,1550,0,200,0,1350,0,0,480,75,548,0,0,0,0,0,0
2008-09,Nashik,516,Dindori,4149,3200,5948,10,20,0,3370,6000,3200,0,1010,1505,750,0,1510,0,3850,95,15,2240,145,742,0,0,0,0,0,0
2008-09,Nashik,516,Peth,4150,7500,715,40,0,0,20,4300,1100,0,1391,3550,40,0,1600,0,3650,0,0,275,0,218,0,0,0,0,0,0
2008-09,Nashik,516,Trumbak,4151,8500,1000,140,0,0,260,5500,800,0,780,4400,20,0,2100,0,1760,0,0,200,0,187,130,0,0,0,0,0
2008-09,Nashik,516,Nashik,4152,3100,4415,40,50,0,75,3600,1500,0,140,250,150,0,490,0,2800,5,10,1300,20,1010,0,0,0,0,0,0
2008-09,Nashik,516,Igatputi,4153,11200,3097,0,0,0,93,2703,1372,0,119,823,95,0,1247,0,2227,0,0,367,193,198,0,0,0,0,0,0
2008-09,Nashik,516,Sinnar,4154,700,3160,105,26000,0,900,60,220,0,650,320,700,0,900,0,1400,65,5,10200,110,4440,35,0,0,0,0,0
2008-09,Nashik,516,Niphad,4155,200,8600,5,1205,0,19105,0,140,0,705,360,710,0,708,0,1530,0,89,21677,42,7292,25,0,0,0,0,0
2008-09,Nashik,516,Yeola,4156,0,12000,11,22300,0,8788,0,75,0,680,129,1670,0,51,0,585,162,12,970,584,790,10893,0,0,0,0,0
