REFERENCE_YEAR,DISTRICT_NAME,DISTRICT_CODE,TALUKA_NAME,TALUKA_CODE,RICE/_Missing,WHEAT/_Missing,JOWAR/_Missing,BAJRA/_Missing,BARLEY/_Missing,MAIZE/_Missing,RAGI/_Missing,OTHER_CEREALS/_Missing,GRAM/_Missing,TUR/_Missing,UDID/_Missing,MUNG/_Missing,MASOOR/_Missing,OTHER_PULSES/_Missing,LINSEED_JAWAS/_Missing,GROUNDNUTS/_Missing,SUNFLOWER/_Missing,SESAMUM/_Missing,SOYABEAN/_Missing,OTHER_OIL_SEEDS/_Missing,SUGARCANE/_Missing,COTTON/_Missing,TAG/_Missing,MESTA/_Missing,TOBACCO/_Missing,MEDICINAL/_Missing,OTHER_SPICES/_Missing
2009-10,Pune,521,Junnar,4187,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2009-10,Pune,521,Ambegaon,4188,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2009-10,Pune,521,Shirur,4189,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2009-10,Pune,521,Khed,4190,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2009-10,Pune,521,Mawal,4191,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2009-10,Pune,521,Mulshi,4192,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2009-10,Pune,521,Haveli,4193,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2009-10,Pune,521,Pune City,4194,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2009-10,Pune,521,Daund,4195,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2009-10,Pune,521,Purandhar,4196,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2009-10,Pune,521,Velhe,4197,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2009-10,Pune,521,Bhor,4198,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2009-10,Pune,521,Baramati,4199,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2009-10,Pune,521,Indapur,4200,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
