REFERENCE_YEAR,DISTRICT_NAME,DISTRICT_CODE,TALUKA_NAME,TALUKA_CODE,RICE,WHEAT,JOWAR,BAJRA,BARLEY,MAIZE,RAGI,OTHER_CEREALS,GRAM,TUR,UDID,MUNG,MASOOR,OTHER_PULSES,LINSEED_JAWAS,GROUNDNUTS,SUNFLOWER,SESAMUM,SOYABEAN,OTHER_OIL_SEEDS,SUGARCANE,COTTON,TAG,MESTA,TOBACCO,MEDICINAL,OTHER_SPICES
2010-11,Solapur,526,Karmala,4244,0,7641.5,36137.5,1012.67,0,566.13,0,0,376.35,232.26,44.91,292.31,0,0,0,158.1,539.04,0,0,0,1767775,36.46,0,0,0,0,0
2010-11,Solapur,526,Madha,4245,0,9117.33,32015.88,57.2,0,6115.2,0,0,2053.31,310.15,31.19,58.86,0,0,0,26.1,87.96,0,0,0,1661719,6.82,0,0,0,0,0
2010-11,Solapur,526,Barshi,4246,24.937,17880,45241.65,11.02,0,514.75,0,0,5032.94,7721.59,1854.88,89.91,0,0,0,41.29,223.2,14.7,0,0,578655,51.28,0,0,0,0,0
2010-11,Solapur,526,Solapur north,4247,0,4202.34,22813.57,61.62,0,0,0,0,407.5,296.4,130.99,123.2,0,0,0,172.5,34.71,0,0,0,378402,0,0,0,0,0,0
2010-11,Solapur,526,Mohol,4248,0,16293.87,52908.36,75.16,0,234,0,0,2226,940,93.57,166.12,0,0,0,353.5,491,0,0,0,2029449,48.25,0,0,0,0,0
2010-11,Solapur,526,Pandharpur,4249,0,10323.52,8898.72,672.67,0,4109,0,0,944.95,141.5,6.23,8.75,0,0,0,26.1,11.34,0,0,0,3896576,0,0,0,0,0,0
2010-11,Solapur,526,Malshiras,4250,0,10746.99,29239.57,2206.28,0,9901.5,0,0,5071.63,96.93,15.6,13.04,0,0,0,0,45.5,0,0,0,2244383,0,0,0,0,0,0
2010-11,Solapur,526,Sangole,4251,0,4331.73,12795.54,1455.19,0,4960,0,0,1155,494.5,49.9,99.5,0,0,0,67.12,136.15,2.1,0,0,178095,4026.93,0,0,0,0,0
2010-11,Solapur,526,Mangalvedhe,4252,0,5557.37,27479.42,3644.11,0,992,0,0,1524.53,395.83,31.19,371,0,0,0,223.73,388.12,6.3,0,0,991826,131.76,0,0,0,0,0
2010-11,Solapur,526,Solapur south,4253,22.575,7101.25,29652,197.25,0,184,0,0,2807.25,434.99,36.75,155.86,0,0,0,311.2,323.89,12.5,0,0,954316,59.98,0,0,0,0,0
2010-11,Solapur,526,Akkalkot,4254,296.666,2538.88,32926.4,323.47,0,509.42,0,0,2698.66,409.95,565.75,172.7,0,0,0,1485.95,1105.51,23.15,0,0,618498,113.96,0,0,0,0,0
