REFERENCE_YEAR,DISTRICT_NAME,DISTRICT_ID,TALUKA_NAME,TALUKA_ID,RICE,WHEAT,JOWARR,BAJRA,BARLEY/_Missing,MAIZE,RAGI,OTHR_CEREALS,GRAM,TUR,MUNG,UDID,MASOOR,OTR_PULSES,SUGARCANE,OTHER_SPICES/_Missing,COTTON/_Missing,MESTA/_Missing,LINSEED_JAWAS,GROUNDNUTS,SUNFLOWER,SESAMUM/_Missing,SOYABEAN,OTR_OILSEEDS,TOBACCO/_Missing,MEDICINAL/_Missing,RAGI/_Missing,MASOOR/_Missing,LINSEED_JAWAS/_Missing,RICE/_Missing,WHEAT/_Missing,MAIZE/_Missing
2011-12,Ahmadnagar,522,Akola,4201,11305,2331,233,17049,.,3222,2085,30,1428,89,41,372,0,72,230011,.,.,.,0,1110,0,.,2590,477,.,.,,,,,,
2011-12,Ahmadnagar,522,Akola,4201,11305,2331,233,17049,.,3222,2085,30,1428,89,41,372,0,72,230011,.,.,.,0,1110,0,.,2590,477,.,.,,,,,,
2011-12,Ahmadnagar,522,Akola,4201,11305,2331,233,17049,.,3222,2085,30,1428,89,41,372,0,72,230011,.,.,.,0,1110,0,.,2590,477,.,.,,,,,,
2011-12,Ahmadnagar,522,Akola,4201,11305,2331,233,17049,.,3222,2085,30,1428,89,41,372,0,72,230011,.,.,.,0,1110,0,.,2590,477,.,.,,,,,,
2011-12,Ahmadnagar,522,Akola,4201,11305,2331,233,17049,.,3222,2085,30,1428,89,41,372,0,72,230011,.,.,.,0,1110,0,.,2590,477,.,.,,,,,,
2011-12,Ahmadnagar,522,Akola,4201,11305,2331,233,17049,.,3222,2085,30,1428,89,41,372,0,72,230011,.,.,.,0,1110,0,.,2590,477,.,.,,,,,,
2011-12,Ahmadnagar,522,Akola,4201,11305,2331,233,17049,.,3222,2085,30,1428,89,41,372,0,72,230011,.,.,.,0,1110,0,.,2590,477,.,.,,,,,,
2011-12,Ahmadnagar,522,Akola,4201,11305,2331,233,17049,.,3222,2085,30,1428,89,41,372,0,72,230011,.,.,.,0,1110,0,.,2590,477,.,.,,,,,,
2011-12,Ahmadnagar,522,Akola,4201,11305,2331,233,17049,.,3222,2085,30,1428,89,41,372,0,72,230011,.,.,.,0,1110,0,.,2590,477,.,.,,,,,,
2011-12,Ahmadnagar,522,Akola,4201,11305,2331,233,17049,.,3222,2085,30,1428,89,41,372,0,72,230011,.,.,.,0,1110,0,.,2590,477,.,.,,,,,,
2011-12,Ahmadnagar,522,Akola,4201,11305,2331,233,17049,.,3222,2085,30,1428,89,41,372,0,72,230011,.,.,.,0,1110,0,.,2590,477,.,.,,,,,,
2011-12,Ahmadnagar,522,Akola,4201,11305,2331,233,17049,.,3222,2085,30,1428,89,41,372,0,72,230011,.,.,.,0,1110,0,.,2590,477,.,.,,,,,,
2011-12,Ahmadnagar,522,Akola,4201,11305,2331,233,17049,.,3222,2085,30,1428,89,41,372,0,72,230011,.,.,.,0,1110,0,.,2590,477,.,.,,,,,,
2011-12,Ahmadnagar,522,Akola,4201,11305,2331,233,17049,.,3222,2085,30,1428,89,41,372,0,72,230011,.,.,.,0,1110,0,.,2590,477,.,.,,,,,,
2011-12,Ahmadnagar,522,Akola,4201,11305,2331,233,17049,.,3222,2085,30,1428,89,41,372,0,72,230011,.,.,.,0,1110,0,.,2590,477,.,.,,,,,,
2011-12,Ahmadnagar,522,Akola,4201,11305,2331,233,17049,.,3222,2085,30,1428,89,41,372,0,72,230011,.,.,.,0,1110,0,.,2590,477,.,.,,,,,,
2011-12,Ahmadnagar,522,Akola,4201,11305,2331,233,17049,.,3222,2085,30,1428,89,41,372,0,72,230011,.,.,.,0,1110,0,.,2590,477,.,.,,,,,,
2011-12,Ahmadnagar,522,Akola,4201,11305,2331,233,17049,.,3222,2085,30,1428,89,41,372,0,72,230011,.,.,.,0,1110,0,.,2590,477,.,.,,,,,,
2011-12,Ahmadnagar,522,Akola,4201,11305,2331,233,17049,.,3222,2085,30,1428,89,41,372,0,72,230011,.,.,.,0,1110,0,.,2590,477,.,.,,,,,,
2011-12,Ahmadnagar,522,Akola,4201,11305,2331,233,17049,.,3222,2085,30,1428,89,41,372,0,72,230011,.,.,.,0,1110,0,.,2590,477,.,.,,,,,,
2011-12,Ahmadnagar,522,Akola,4201,11305,2331,233,17049,.,3222,2085,30,1428,89,41,372,0,72,230011,.,.,.,0,1110,0,.,2590,477,.,.,,,,,,
2011-12,Ahmadnagar,522,Akola,4201,11305,2331,233,17049,.,3222,2085,30,1428,89,41,372,0,72,230011,.,.,.,0,1110,0,.,2590,477,.,.,,,,,,
2011-12,Ahmadnagar,522,Akola,4201,11305,2331,233,17049,.,3222,2085,30,1428,89,41,372,0,72,230011,.,.,.,0,1110,0,.,2590,477,.,.,,,,,,
2011-12,Ahmadnagar,522,Akola,4201,11305,2331,233,17049,.,3222,2085,30,1428,89,41,372,0,72,230011,.,.,.,0,1110,0,.,2590,477,.,.,,,,,,
2011-12,Ahmadnagar,522,Akola,4201,11305,2331,233,17049,.,3222,2085,30,1428,89,41,372,0,72,230011,.,.,.,0,1110,0,.,2590,477,.,.,,,,,,
2011-12,Ahmadnagar,522,Akola,4201,11305,2331,233,17049,.,3222,2085,30,1428,89,41,372,0,72,230011,.,.,.,0,1110,0,.,2590,477,.,.,,,,,,
2011-12,Ahmadnagar,522,Akola,4201,11305,2331,233,17049,.,3222,2085,30,1428,89,41,372,0,72,230011,.,.,.,0,1110,0,.,2590,477,.,.,,,,,,
2011-12,Ahmadnagar,522,Akola,4201,11305,2331,233,17049,.,3222,2085,30,1428,89,41,372,0,72,230011,.,.,.,0,1110,0,.,2590,477,.,.,,,,,,
2011-12,Ahmadnagar,522,Akola,4201,11305,2331,233,17049,.,3222,2085,30,1428,89,41,372,0,72,230011,.,.,.,0,1110,0,.,2590,477,.,.,,,,,,
2011-12,Ahmadnagar,522,Akola,4201,11305,2331,233,17049,.,3222,2085,30,1428,89,41,372,0,72,230011,.,.,.,0,1110,0,.,2590,477,.,.,,,,,,
2011-12,Ahmadnagar,522,Akola,4201,11305,2331,233,17049,.,3222,2085,30,1428,89,41,372,0,72,230011,.,.,.,0,1110,0,.,2590,477,.,.,,,,,,
2011-12,Ahmadnagar,522,Akola,4201,11305,2331,233,17049,.,3222,2085,30,1428,89,41,372,0,72,230011,.,.,.,0,1110,0,.,2590,477,.,.,,,,,,
2011-12,Ahmadnagar,522,Akola,4201,11305,2331,233,17049,.,3222,2085,30,1428,89,41,372,0,72,230011,.,.,.,0,1110,0,.,2590,477,.,.,,,,,,
2011-12,Ahmadnagar,522,Akola,4201,11305,2331,233,17049,.,3222,2085,30,1428,89,41,372,0,72,230011,.,.,.,0,1110,0,.,2590,477,.,.,,,,,,
2011-12,Ahmadnagar,522,Akola,4201,11305,2331,233,17049,.,3222,2085,30,1428,89,41,372,0,72,230011,.,.,.,0,1110,0,.,2590,477,.,.,,,,,,
2011-12,Ahmadnagar,522,Akola,4201,11305,2331,233,17049,.,3222,2085,30,1428,89,41,372,0,72,230011,.,.,.,0,1110,0,.,2590,477,.,.,,,,,,
2011-12,Ahmadnagar,522,Akola,4201,11305,2331,233,17049,.,3222,2085,30,1428,89,41,372,0,72,230011,.,.,.,0,1110,0,.,2590,477,.,.,,,,,,
2011-12,Ahmadnagar,522,Akola,4201,11305,2331,233,17049,.,3222,2085,30,1428,89,41,372,0,72,230011,.,.,.,0,1110,0,.,2590,477,.,.,,,,,,
2011-12,Ahmadnagar,522,Akola,4201,11305,2331,233,17049,.,3222,2085,30,1428,89,41,372,0,72,230011,.,.,.,0,1110,0,.,2590,477,.,.,,,,,,
2011-12,Ahmadnagar,522,Akola,4201,11305,2331,233,17049,.,3222,2085,30,1428,89,41,372,0,72,230011,.,.,.,0,1110,0,.,2590,477,.,.,,,,,,
2011-12,Ahmadnagar,522,Akola,4201,11305,2331,233,17049,.,3222,2085,30,1428,89,41,372,0,72,230011,.,.,.,0,1110,0,.,2590,477,.,.,,,,,,
2011-12,Ahmadnagar,522,Akola,4201,11305,2331,233,17049,.,3222,2085,30,1428,89,41,372,0,72,230011,.,.,.,0,1110,0,.,2590,477,.,.,,,,,,
2011-12,Ahmadnagar,522,Akola,4201,11305,2331,233,17049,.,3222,2085,30,1428,89,41,372,0,72,230011,.,.,.,0,1110,0,.,2590,477,.,.,,,,,,
2011-12,Ahmadnagar,522,Akola,4201,11305,2331,233,17049,.,3222,2085,30,1428,89,41,372,0,72,230011,.,.,.,0,1110,0,.,2590,477,.,.,,,,,,
2011-12,Ahmadnagar,522,Akola,4201,11305,2331,233,17049,.,3222,2085,30,1428,89,41,372,0,72,230011,.,.,.,0,1110,0,.,2590,477,.,.,,,,,,
2011-12,Ahmadnagar,522,Akola,4201,11305,2331,233,17049,.,3222,2085,30,1428,89,41,372,0,72,230011,.,.,.,0,1110,0,.,2590,477,.,.,,,,,,
2011-12,Ahmadnagar,522,Akola,4201,11305,2331,233,17049,.,3222,2085,30,1428,89,41,372,0,72,230011,.,.,.,0,1110,0,.,2590,477,.,.,,,,,,
2011-12,Ahmadnagar,522,Akola,4201,11305,2331,233,17049,.,3222,2085,30,1428,89,41,372,0,72,230011,.,.,.,0,1110,0,.,2590,477,.,.,,,,,,
2011-12,Ahmadnagar,522,Akola,4201,11305,2331,233,17049,.,3222,2085,30,1428,89,41,372,0,72,230011,.,.,.,0,1110,0,.,2590,477,.,.,,,,,,
2011-12,Ahmadnagar,522,Akola,4201,11305,2331,233,17049,.,3222,2085,30,1428,89,41,372,0,72,230011,.,.,.,0,1110,0,.,2590,477,.,.,,,,,,
2011-12,Ahmadnagar,522,Akola,4201,11305,2331,233,17049,.,3222,2085,30,1428,89,41,372,0,72,230011,.,.,.,0,1110,0,.,2590,477,.,.,,,,,,
2011-12,Ahmadnagar,522,Akola,4201,11305,2331,233,17049,.,3222,2085,30,1428,89,41,372,0,72,230011,.,.,.,0,1110,0,.,2590,477,.,.,,,,,,
2011-12,Ahmadnagar,522,Akola,4201,11305,2331,233,17049,.,3222,2085,30,1428,89,41,372,0,72,230011,.,.,.,0,1110,0,.,2590,477,.,.,,,,,,
2011-12,Ahmadnagar,522,Akola,4201,11305,2331,233,17049,.,3222,2085,30,1428,89,41,372,0,72,230011,.,.,.,0,1110,0,.,2590,477,.,.,,,,,,
2011-12,Ahmadnagar,522,Akola,4201,11305,2331,233,17049,.,3222,2085,30,1428,89,41,372,0,72,230011,.,.,.,0,1110,0,.,2590,477,.,.,,,,,,
