REFERENCE_YEAR,DISTRICT_NAME,DISTRICT_ID,TALUKA_NAME,TALUKA_ID,RICE,WHEAT,JOWARR,BAJRA,BARLEY,MAIZE,RAGI,OTHR_CEREALS,GRAM,TUR,MUNG,UDID,MASOOR,OTR_PULSES,SUGARCANE,OTHER_SPICES/_Missing,COTTON/_Missing,MESTA/_Missing,LINSEED_JAWAS,GROUNDNUTS,SUNFLOWER,SESAMUM/_Missing,SOYABEAN,OTR_OILSEEDS,TOBACCO,MEDICINAL,OTR_PULSES/_Missing,WHEAT/_Missing,SUNFLOWER/_Missing,JOWARR/_Missing,GRAM/_Missing,SUGARCANE/_Missing,LINSEED_JAWAS/_Missing,SOYABEAN/_Missing
2011-12,Akola,501,Telhara,3988,0,3858,8894,0,0,0,0,0,2378,2489,2328,1550,0,0,0,.,.,.,0,0,0,.,33500,0,0,0,,,,,,,,
2011-12,Akola,501,Telhara,3988,0,3858,23000,0,0,0,0,0,2378,2489,2328,1550,0,0,0,.,.,.,0,0,0,.,33500,0,0,0,,,,,,,,
2011-12,Akola,501,Telhara,3988,0,3858,8894,0,0,0,0,0,2378,2489,2328,1550,0,0,0,.,.,.,0,0,0,.,33500,0,0,0,,,,,,,,
2011-12,Akola,501,Telhara,3988,0,3858,23000,0,0,0,0,0,2378,2489,2328,1550,0,0,0,.,.,.,0,0,0,.,33500,0,0,0,,,,,,,,
2011-12,Akola,501,Telhara,3988,0,3858,8894,0,0,0,0,0,2378,2489,2328,1550,0,0,0,.,.,.,0,0,0,.,33500,0,0,0,,,,,,,,
2011-12,Akola,501,Telhara,3988,0,3858,23000,0,0,0,0,0,2378,2489,2328,1550,0,0,0,.,.,.,0,0,0,.,33500,0,0,0,,,,,,,,
2011-12,Akola,501,Telhara,3988,0,3858,8894,0,0,0,0,0,2378,2489,2328,1550,0,0,0,.,.,.,0,0,0,.,33500,0,0,0,,,,,,,,
2011-12,Akola,501,Telhara,3988,0,3858,23000,0,0,0,0,0,2378,2489,2328,1550,0,0,0,.,.,.,0,0,0,.,33500,0,0,0,,,,,,,,
2011-12,Akola,501,Telhara,3988,0,3858,8894,0,0,0,0,0,2378,2489,2328,1550,0,0,0,.,.,.,0,0,0,.,17700,0,0,0,,,,,,,,
2011-12,Akola,501,Telhara,3988,0,3858,23000,0,0,0,0,0,2378,2489,2328,1550,0,0,0,.,.,.,0,0,0,.,17700,0,0,0,,,,,,,,
2011-12,Akola,501,Telhara,3988,0,3858,8894,0,0,0,0,0,2378,2489,2328,1550,0,0,0,.,.,.,0,0,0,.,17700,0,0,0,,,,,,,,
