REFERENCE_YEAR,DISTRICT_NAME,DISTRICT_ID,TALUKA_NAME,TALUKA_ID,RICE,WHEAT,JOWARR,BAJRA,BARLEY,MAIZE,RAGI/_Missing,OTHR_CEREALS,GRAM,TUR,MUNG,UDID,MASOOR,OTR_PULSES,SUGARCANE,OTHER_SPICES/_Missing,COTTON/_Missing,MESTA/_Missing,LINSEED_JAWAS,GROUNDNUTS,SUNFLOWER,SESAMUM/_Missing,SOYABEAN,OTR_OILSEEDS,TOBACCO,MEDICINAL,OTHR_CEREALS/_Missing
2011-12,Aurangabad,515,Kannad,4133,0,12945,2056,8756,0,8127,.,0,4273,2201,155,375,0,0,0,.,.,.,0,129,1,.,42,0,0,0,
2011-12,Aurangabad,515,Soegaon,4134,0,2596,4594,2164,0,17500,.,0,985,1334,192,54,0,0,0,.,.,.,0,175,3,.,1850,0,0,0,
2011-12,Aurangabad,515,Sillod,4135,0,7959,8055,5656,0,154388,.,0,2774,250,246,192,0,0,0,.,.,.,0,306,7,.,3382,0,0,0,
2011-12,Aurangabad,515,Phulambri,4136,0,8051,12,4584,0,58900,.,,692,852,37,35,0,0,0,.,.,.,0,201,1,.,19,0,0,0,.
2011-12,Aurangabad,515,Aurangabad,4137,0,13041,10704,4584,0,49764,.,0,4660,4660,115,2,0,0,0,.,.,.,0,127,1,.,3210,0,0,0,
2011-12,Aurangabad,515,Khuldabad,4138,0,4238,5780,15948,0,21733,.,0,2798,3225,3,2,0,0,0,.,.,.,0,8,2,.,40,0,0,0,
2011-12,Aurangabad,515,Khuldabad,4138,0,4238,5780,15948,0,21733,.,0,2798,3225,3,2,0,0,0,.,.,.,0,8,2,.,40,0,0,0,
2011-12,Aurangabad,515,Vaijapur,4139,0,11773,5885,13042,0,81581,.,0,2546,966,98,2,0,0,0,.,.,.,0,2766,3,.,171,0,0,0,
2011-12,Aurangabad,515,Gangapur,4140,0,8785,21175,10137,0,21177,.,0,6160,6804,13,3,0,0,0,.,.,.,0,663,2,.,2652,0,0,0,
2011-12,Aurangabad,515,Paithan,4141,0,5245,21412,15948,0,4240,.,0,3785,8096,3,2,0,0,0,.,.,.,0,13,2,.,82,0,0,0,
