REFERENCE_YEAR,DISTRICT_NAME,DISTRICT_ID,TALUKA_NAME,TALUKA_ID,RICE,WHEAT,JOWARR,BAJRA,BARLEY/_Missing,MAIZE,RAGI/_Missing,OTHR_CEREALS/_Missing,GRAM,TUR,MUNG,UDID,MASOOR/_Missing,OTR_PULSES,SUGARCANE,OTHER_SPICES/_Missing,COTTON/_Missing,MESTA/_Missing,LINSEED_JAWAS,GROUNDNUTS,SUNFLOWER,SESAMUM/_Missing,SOYABEAN,OTR_OILSEEDS/_Missing,TOBACCO/_Missing,MEDICINAL/_Missing
2011-12,Beed,523,Ashti,4215,0,1369,33102,4349,.,218,.,.,1628,606,473,7849,.,100,149869,.,.,.,19,93,125,.,102,.,.,.
2011-12,Beed,523,Patoda,4216,0,2672,13235,21684,.,290,.,.,1352,1224,1344,399,.,100,97584,.,.,.,0,272,55,.,3201,.,.,.
2011-12,Beed,523,Shirur (Kasar),4217,0,2289,4667,3440,.,340,.,.,1309,877,59,37,.,50,148200,.,.,.,0,262,91,.,155,.,.,.
2011-12,Beed,523,Georai,4218,0,5709,13504,12160,.,690,.,.,4185,5413,115,0,.,25,598215,.,.,.,20,673,0,.,126,.,.,.
2011-12,Beed,523,Manjlegaon,4219,0,14735,14055,14748,.,400,.,.,3112,10725,93,0,.,30,531564,.,.,.,10,550,0,.,3673,.,.,.
2011-12,Beed,523,Wadwani,4220,0,971,1712,3225,.,600,.,.,363,1042,85,125,.,0,275616,.,.,.,25,420,0,.,95,.,.,.
2011-12,Beed,523,Bid,4221,0,8865,28110,23862,.,1575,.,.,3766,2034,115,127,.,35,308700,.,.,.,22,290,205,.,1540,.,.,.
2011-12,Beed,523,Kaij,4222,0,4899,2866,8244,.,624,.,.,3783,1396,77,114,.,65,905832,.,.,.,40,119,322,.,24738,.,.,.
2011-12,Beed,523,Dharur,4223,0,1427,698,5253,.,0,.,.,305,516,0,0,.,0,206564,.,.,.,0,68,42,.,4701,.,.,.
2011-12,Beed,523,Parli,4224,82,5404,3019,3738,.,416,.,.,2405,230,68,0,.,95,1726815,.,.,.,62,74,0,.,19312,.,.,.
2011-12,Beed,523,Ambejogai,4225,107,2568,4622,2776,.,895,.,.,5858,5976,109,87,.,85,447720,.,.,.,36,84,39,.,61810,.,.,.
