REFERENCE_YEAR,DISTRICT_NAME,DISTRICT_ID,TALUKA_NAME,TALUKA_ID,RICE,WHEAT,JOWARR/_Missing,BAJRA,BARLEY,MAIZE,RAGI,OTHR_CEREALS,GRAM,TUR,MUNG,UDID,MASOOR,OTR_PULSES,SUGARCANE,OTHER_SPICES/_Missing,COTTON/_Missing,MESTA/_Missing,LINSEED_JAWAS,GROUNDNUTS,SUNFLOWER,SESAMUM/_Missing,SOYABEAN,OTR_OILSEEDS,TOBACCO,MEDICINAL,JOWARR,OTR_OILSEEDS/_Missing,RAGI/_Missing,MASOOR/_Missing,SUNFLOWER/_Missing,MEDICINAL/_Missing
2011-12,Buldana,500,Jalgaon (Jamod),3975,0,1362,.,0,0,3364,0,0,258,977,558,416,0,0,0,.,.,.,0,40,0,.,7949,0,0,0,,,,,,
2011-12,Buldana,500,Sangrampur,3976,0,3401,,0,0,4986,0,0,1320,1948,2266,1671,0,0,0,.,.,.,0,0,0,.,5032,0,0,0,10489,,,,,
2011-12,Buldana,500,Shegaon,3977,0,1061,,0,0,2080,0,0,338,1181,2093,1991,0,0,0,.,.,.,0,0,0,.,4602,,0,0,11114,.,,,,
2011-12,Buldana,500,Nandura,3978,0,399,,0,0,13856,0,0,166,2665,679,1268,0,0,0,.,.,.,0,0,0,.,5647,0,0,0,8007,,,,,
2011-12,Buldana,500,Malkapur,3979,0,2024,,0,0,11135,0,0,132,1178,556,420,0,0,0,.,.,.,0,0,0,.,4624,0,0,0,5805,,,,,
2011-12,Buldana,500,Motala,3980,0,1514,,0,0,11653,0,0,488,1145,690,1554,0,0,0,.,.,.,0,271,0,.,6705,0,0,0,2998,,,,,
2011-12,Buldana,500,Khamgaon,3981,0,7207,,0,0,6984,,0,2020,2218,3750,5847,,0,0,.,.,.,0,675,0,.,13611,0,0,0,22243,,.,.,,
2011-12,Buldana,500,Mehkar,3982,0,10115,.,0,0,0,,0,15889,6127,4651,6771,0,0,0,.,.,.,0,0,0,.,81921,0,0,0,,,.,,,
2011-12,Buldana,500,Chikhli,3983,0,12232,.,0,0,11675,,0,13497,11823,5416,5453,0,0,0,.,.,.,0,171,,.,76919,,0,,,.,.,,.,.
2011-12,Buldana,500,Chikhli,3983,0,12232,.,0,0,11675,,0,13497,11823,5416,5453,0,0,0,.,.,.,0,171,,.,76919,,0,,,.,.,,.,.
2011-12,Buldana,500,Buldana,3984,0,3357,.,0,0,25016,0,0,4156,2652,670,969,0,0,0,.,.,.,0,76,0,.,53378,0,0,0,,,,,,
2011-12,Buldana,500,Deolgaon Raja,3985,0,8969,.,0,0,15392,0,0,825,2271,1094,1169,0,0,0,.,.,.,0,0,0,.,14524,0,0,0,,,,,,
2011-12,Buldana,500,Sindkhed Raja,3986,0,10454,.,0,0,388,0,0,1610,1042,687,500,0,0,0,.,.,.,0,0,0,.,54782,0,0,0,,,,,,
2011-12,Buldana,500,Lonar,3987,0,9220,.,0,0,802,0,0,3145,4929,2393,3404,0,0,0,.,.,.,0,0,0,.,39629,25,0,0,,,,,,
