REFERENCE_YEAR,DISTRICT_NAME,DISTRICT_ID,TALUKA_NAME,TALUKA_ID,RICE,WHEAT,JOWARR,BAJRA,BARLEY,MAIZE,RAGI,OTHR_CEREALS,GRAM,TUR,MUNG,UDID,MASOOR,OTR_PULSES,SUGARCANE,OTHER_SPICES/_Missing,COTTON/_Missing,MESTA/_Missing,LINSEED_JAWAS,GROUNDNUTS,SUNFLOWER,SESAMUM/_Missing,SOYABEAN,OTR_OILSEEDS,TOBACCO,MEDICINAL
2011-12,Gadchiroli,508,Desaiganj (Vadasa),4052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,0,0,0,.,0,0,0,0
2011-12,Gadchiroli,508,Armori,4053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,0,0,0,.,0,0,0,0
2011-12,Gadchiroli,508,Kurkheda,4054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,0,0,0,.,0,0,0,0
2011-12,Gadchiroli,508,Korchi,4055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,0,0,0,.,0,0,0,0
2011-12,Gadchiroli,508,Dhanora,4056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,0,0,0,.,0,0,0,0
2011-12,Gadchiroli,508,Gadchiroli,4057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,0,0,0,.,0,0,0,0
2011-12,Gadchiroli,508,Chamorshi,4058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,0,0,0,.,0,0,0,0
2011-12,Gadchiroli,508,Mulchera,4059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,0,0,0,.,0,0,0,0
2011-12,Gadchiroli,508,Etapalli,4060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,0,0,0,.,0,0,0,0
2011-12,Gadchiroli,508,Bhamragad,4061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,0,0,0,.,0,0,0,0
2011-12,Gadchiroli,508,Aheri,4062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,0,0,0,.,0,0,0,0
2011-12,Gadchiroli,508,Sironcha,4063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,0,0,0,.,0,0,0,0
