REFERENCE_YEAR,DISTRICT_NAME,DISTRICT_ID,TALUKA_NAME,TALUKA_ID,RICE,WHEAT,JOWARR,BAJRA,BARLEY,MAIZE,RAGI,OTHR_CEREALS,GRAM,TUR,MUNG,UDID,MASOOR,OTR_PULSES,SUGARCANE,OTHER_SPICES/_Missing,COTTON/_Missing,MESTA/_Missing,LINSEED_JAWAS,GROUNDNUTS,SUNFLOWER,SESAMUM/_Missing,SOYABEAN,OTR_OILSEEDS,TOBACCO,MEDICINAL
2011-12,Jalgaon,499,Chopda,3960,4.2,11049,17043,3961.8,0,0,0,40,0,795,730,730,0,0,70,.,.,.,0,0,0,.,1871,0,0,0
2011-12,Jalgaon,499,Yawal,3961,6.3,10625,16562,129,0,0,0,12,0,660,600,600,0,0,80,.,.,.,0,0,0,.,1900,550,0,0
2011-12,Jalgaon,499,Raver,3962,10.5,35165,26865,434.85,0,0,0,9,0,660,620,620,0,0,85,.,.,.,0,0,0,.,1900,550,0,0
2011-12,Jalgaon,499,Muktainagar (Edlabad),3963,0,3547,13586,226.56,0,0,0,0,0,500,580,580,0,0,70,.,.,.,0,0,0,.,1860,0,0,0
2011-12,Jalgaon,499,Bodvad,3964,0,960,7245,186.83,0,0,0,0,0,480,640,640,0,0,75,.,.,.,0,0,0,.,1850,0,0,0
2011-12,Jalgaon,499,Bhusawal,3965,0,1451,8956,215,0,0,0,0,0,450,600,600,0,0,60,.,.,.,0,0,0,.,1850,0,0,0
2011-12,Jalgaon,499,Jalgaon,3966,4.2,10427,21550,832,0,0,0,11.7,0,600,700,700,0,0,80,.,.,.,0,0,0,.,2000,0,0,0
2011-12,Jalgaon,499,Erandol,3967,0,2806,4464,3190.77,0,0,0,0,0,600,650,650,0,0,60,.,.,.,0,0,0,.,1920,300,0,0
2011-12,Jalgaon,499,Dharangaon,3968,2.1,4612,10032,2102.1,0,0,0,668.85,0,650,640,640,0,0,65,.,.,.,0,0,0,.,1920,0,0,0
2011-12,Jalgaon,499,Amalner,3969,4.2,3393,19182,14174.16,0,0,0.3,0,0,580,670,670,0,0,0,.,.,.,0,0,0,.,1860,560,0,0
2011-12,Jalgaon,499,Parola,3970,0,3444,15054,4056,0,0,54.6,0,0,620,580,580,0,0,45,.,.,.,0,0,0,.,1760,0,0,0
2011-12,Jalgaon,499,Bhadgaon,3971,0,6772,10786,4610,0,0,0,0,0,550,500,500,0,0,85,.,.,.,0,0,0,.,1745,0,0,0
2011-12,Jalgaon,499,Chalisgaon,3972,0,7215,21650,12852.4,0,0,18.36,0,0,550,450,450,0,0,80,.,.,.,0,0,0,.,1950,0,0,0
2011-12,Jalgaon,499,Pachora,3973,0,2341,14540,1996.92,0,0,0,0,0,580,400,400,0,0,35,.,.,.,0,0,0,.,1860,0,0,0
2011-12,Jalgaon,499,Jamner,3974,0,10488,8542,3900.82,0,0,0,0,0,0,500,500,0,0,60,.,.,.,0,0,0,.,1600,0,0,0
2011-12,Jalgaon,499,Jamner,3974,0,10488,8542,3900.82,0,0,0,0,0,0,500,500,0,0,60,.,.,.,0,0,0,.,1600,0,0,0
