REFERENCE_YEAR,DISTRICT_NAME,DISTRICT_ID,TALUKA_NAME,TALUKA_ID,RICE,WHEAT,JOWARR,BAJRA,BARLEY,MAIZE,RAGI,OTHR_CEREALS,GRAM,TUR,MUNG,UDID,MASOOR,OTR_PULSES,SUGARCANE,OTHER_SPICES/_Missing,COTTON/_Missing,MESTA/_Missing,LINSEED_JAWAS,GROUNDNUTS,SUNFLOWER,SESAMUM/_Missing,SOYABEAN,OTR_OILSEEDS,TOBACCO,MEDICINAL
2011-12,Latur,524,Latur,4226,761,8191,25725,237,0,0,0,0,5420,6103,752,530,0,0,1676,.,.,.,0,291,167,.,61257,0,0,0
2011-12,Latur,524,Renapur,4227,144,5076,4961,155,0,0,0,0,3640,7539,155,103,0,0,455,.,.,.,0,349,107,.,41015,0,0,0
2011-12,Latur,524,Ahmadpur,4228,1204,6747,8190,567,0,0,0,0,5961,10390,574,1059,0,0,132,.,.,.,0,630,643,.,60159,0,0,0
2011-12,Latur,524,Jalkot,4229,163,1637,5220,0,0,0,0,0,895,4023,791,95,0,0,19,.,.,.,0,0,102,.,39058,0,0,0
2011-12,Latur,524,Chakur,4230,283,3815,4193,160,0,0,0,0,2874,9932,247,172,0,0,106,.,.,.,0,271,151,.,66800,0,0,0
2011-12,Latur,524,Shirur-Anantpal,4231,157,1839,3708,17,0,0,0,0,514,4557,93,61,0,0,145,.,.,.,0,203,193,.,33471,0,0,0
2011-12,Latur,524,Ausa,4232,765,6460,12399,682,0,0,0,0,9695,15688,861,2294,0,0,486,.,.,.,0,431,403,.,80283,0,0,0
2011-12,Latur,524,Nilanga,4233,449,2380,10115,312,0,0,0,0,8900,7976,603,481,0,0,343,.,.,.,0,948,441,.,97207,0,0,0
2011-12,Latur,524,Deoni,4234,136,1186,11492,39,0,0,0,0,5851,94745,691,1530,0,0,248,.,.,.,0,75,455,.,1542,0,0,0
2011-12,Latur,524,Udgir,4235,156,1937,16962,49,0,0,0,0,7867,4950,157,367,0,0,115,.,.,.,0,86,73,.,26610,0,0,0
