REFERENCE_YEAR,DISTRICT_NAME,DISTRICT_ID,RICE,WHEAT,JOWARR,BAJRA,BARLEY/_Missing,MAIZE,RAGI,OTHR_CEREALS,GRAM,TUR,MUNG,UDID,MASOOR/_Missing,OTR_PULSES,SUGARCANE,OTHER_SPICES/_Missing,COTTON/_Missing,MESTA/_Missing,LINSEED_JAWAS/_Missing,GROUNDNUTS,SUNFLOWER/_Missing,SESAMUM/_Missing,SOYABEAN,OTR_OILSEEDS,TOBACCO/_Missing,MEDICINAL/_Missing,BARLEY,MASOOR,LINSEED_JAWAS,SUNFLOWER,TOBACCO,MEDICINAL,RICE/_Missing,BAJRA/_Missing,MAIZE/_Missing,RAGI/_Missing,OTHR_CEREALS/_Missing,OTR_PULSES/_Missing,SUGARCANE/_Missing,GROUNDNUTS/_Missing,JOWARR/_Missing,SOYABEAN/_Missing,MUNG/_Missing,UDID/_Missing,OTR_OILSEEDS/_Missing,GRAM/_Missing,TUR/_Missing,WHEAT/_Missing,SESAMUM
2011-12,Nandurbar,497,273,358,413,196,.,848,5,13,153,194,141,12,.,12,8888,.,.,.,.,55,.,.,710,14,.,.,,,,,,,,,,,,,,,,,,,,,,,
2011-12,Dhule,498,8105,74934,23599,117292,,133225,137,357,26311,15528,141142,12114,,467,440.66,.,.,.,,161668,,.,202462,0,,,0,0,0,276,0,0,,,,,,,,,,,,,,,,,
2011-12,Jalgaon,499,31.5,124783,224599,56770.03,,0,73.26,741.55,0,8275,9360,8860,,0,950,.,.,.,,0,,.,27846,1960,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
2011-12,Buldana,500,0,71315,60656,0,,107331,0,0,43844,40156,25503,36886,,0,0,.,.,.,,1404,,.,446242,25,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
2011-12,Akola,501,0,66179,209354,0,,0,0,0,22646,44296,55401,19832,,0,0,.,.,.,,0,,.,346190,0,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
2011-12,Washim,502,,17449,20582,,.,,,,67697,31247,19334,29593,.,,,.,.,.,.,,.,.,433428,197,.,.,,,,,,,.,.,.,.,.,.,.,.,,,,,,,,,
2011-12,Amravati,503,4773,45780,,,.,,,,66270,110996,26431,3134,.,,,.,.,.,.,,.,.,,377858,.,.,,,,,,,,.,.,.,.,.,.,.,.,.,,,,,,,
2011-12,Wardha,504,,347,21.29,,.,,,,202,644.54,7.16,2.01,.,,,.,.,.,.,1.58,.,.,1455,1,.,.,,,,,,,.,.,.,.,.,.,.,,,,,,,,,,
2011-12,Nagpur,505,162668,114654,6035,,.,,,,66173,47421,576,242,.,,,.,.,.,,16168,.,.,127358,0,.,.,,,534,,,,,.,.,.,.,.,.,,,,,,,,,,
2011-12,Bhandara,506,315400,12400,,,.,,,9200,5800,9500,,,.,,255000,.,.,.,,,.,.,6100,,.,.,,,800,,,,,.,.,.,,.,,.,.,,.,.,.,,,,
2011-12,Gondiya,507,3115.09,17.87,,,.,2.2,,,27.3,49.5,0.41,,.,35.22,1728,.,.,.,,,.,.,,0.64,.,.,,,23.22,,,,,.,,.,.,,,.,.,.,,.,,,,,
2011-12,Gadchiroli,508,0,0,0,0,,0,0,0,0,0,0,0,,0,0,.,.,.,,0,,.,0,0,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
2011-12,Chandrapur,509,2502,410,36,0,,0,0,6,306,320,5,3,,5,1481,.,.,.,,0,,.,,0,,,0,0,38,0,0,0,,,,,,,,,,.,,,,,,,
