REFERENCE_YEAR,DISTRICT_NAME,DISTRICT_ID,TALUKA_NAME,TALUKA_ID,RICE,WHEAT,JOWARR,BAJRA/_Missing,BARLEY/_Missing,MAIZE/_Missing,RAGI/_Missing,OTHR_CEREALS/_Missing,GRAM,TUR,MUNG,UDID,MASOOR/_Missing,OTR_PULSES/_Missing,SUGARCANE/_Missing,OTHER_SPICES/_Missing,COTTON/_Missing,MESTA/_Missing,LINSEED_JAWAS,GROUNDNUTS,SUNFLOWER/_Missing,SESAMUM/_Missing,SOYABEAN,OTR_OILSEEDS,TOBACCO/_Missing,MEDICINAL/_Missing,JOWARR/_Missing,SOYABEAN/_Missing
2011-12,Nagpur,505,Narkhed,4023,0,5083,1032,.,.,.,.,.,3708,7189,215,242,.,.,.,.,.,.,0,995,.,.,12449,0,.,.,,
2011-12,Nagpur,505,Katol,4024,0,7846,2104,.,.,.,.,.,5065,5289,361,0,.,.,.,.,.,.,0,1298,.,.,24011,0,.,.,,
2011-12,Nagpur,505,Kalameshwar,4025,0,2541,1077,.,.,.,.,.,721,7222,0,0,.,.,.,.,.,.,0,0,.,.,7436,0,.,.,,
2011-12,Nagpur,505,Savner,4026,0,8026,397,.,.,.,.,.,2486,6482,0,0,.,.,.,.,.,.,0,38,.,.,5923,0,.,.,,
2011-12,Nagpur,505,Parseoni,4027,12990,8773,0,.,.,.,.,.,5224,1663,0,0,.,.,.,.,.,.,0,0,.,.,5438,0,.,.,,
2011-12,Nagpur,505,Ramtek,4028,39603,4166,0,.,.,.,.,.,2508,972,0,0,.,.,.,.,.,.,54,0,.,.,3479,0,.,.,,
2011-12,Nagpur,505,Mauda,4029,66181,31122,,.,.,.,.,.,7330,0,0,0,.,.,.,.,.,.,0,0,.,.,10950,0,.,.,.,
2011-12,Nagpur,505,Kamptee,4030,6680,6572,0,.,.,.,.,.,4119,868,0,0,.,.,.,.,.,.,0,0,.,.,9449,0,.,.,,
2011-12,Nagpur,505,Nagpur (Rural),4031,0,2811,158,.,.,.,.,.,1957,2995,0,0,.,.,.,.,.,.,0,0,.,.,7952,0,.,.,,
2011-12,Nagpur,505,Nagpur (Urban),4032,0,0,0,.,.,.,.,.,0,0,0,0,.,.,.,.,.,.,0,0,.,.,0,0,.,.,,
2011-12,Nagpur,505,Hingna,4033,0,6946,0,.,.,.,.,.,2727,6667,0,0,.,.,.,.,.,.,0,0,.,.,0,0,.,.,,
2011-12,Nagpur,505,Umred,4034,1701,7022,131,.,.,.,.,.,8437,4548,0,0,.,.,.,.,.,.,0,0,.,.,22815,0,.,.,,
2011-12,Nagpur,505,Kuhi,4035,16053,7278,0,.,.,.,.,.,5067,815,0,0,.,.,.,.,.,.,0,13837,.,.,,0,.,.,,.
2011-12,Nagpur,505,Kuhi,4035,16053,7278,0,.,.,.,.,.,5067,815,0,0,.,.,.,.,.,.,0,13837,.,.,,0,.,.,,.
2011-12,Nagpur,505,Kuhi,4035,16053,7278,0,.,.,.,.,.,5067,815,0,0,.,.,.,.,.,.,0,0,.,.,,0,.,.,,.
2011-12,Nagpur,505,Kuhi,4035,16053,7278,0,.,.,.,.,.,5067,815,0,0,.,.,.,.,.,.,0,0,.,.,,0,.,.,,.
2011-12,Nagpur,505,Bhiwapur,4036,3407,9190,1136,.,.,.,.,.,11757,1896,0,0,.,.,.,.,.,.,480,0,.,.,17456,0,.,.,,
