REFERENCE_YEAR,DISTRICT_NAME,DISTRICT_ID,TALUKA_NAME,TALUKA_ID,RICE/_Missing,WHEAT,JOWARR,BAJRA/_Missing,BARLEY/_Missing,MAIZE/_Missing,RAGI/_Missing,OTHR_CEREALS/_Missing,GRAM,TUR,MUNG,UDID,MASOOR/_Missing,OTR_PULSES/_Missing,SUGARCANE/_Missing,OTHER_SPICES/_Missing,COTTON/_Missing,MESTA/_Missing,LINSEED_JAWAS/_Missing,GROUNDNUTS,SUNFLOWER/_Missing,SESAMUM/_Missing,SOYABEAN,OTR_OILSEEDS/_Missing,TOBACCO/_Missing,MEDICINAL/_Missing,GROUNDNUTS/_Missing,RICE,SUGARCANE,UDID/_Missing,SUNFLOWER,GRAM/_Missing
2011-12,Nanded,511,Mahoor,4095,.,219,729,.,.,.,.,.,171,249,7,11,.,.,.,.,.,.,.,26,.,.,1274,.,.,.,,,,,,
2011-12,Nanded,511,Kinwat,4096,.,263,1707,.,.,.,.,.,139,410,108,60,.,.,.,.,.,.,.,,.,.,2158,.,.,.,.,,,,,
2011-12,Nanded,511,Himayatnagar,4097,,202,404,.,.,.,.,.,391,127,31,24,.,.,,.,.,.,.,10,.,.,610,.,.,.,,4,1823,,,
2011-12,Nanded,511,Hadgaon,4098,.,876,1344,.,.,.,.,.,1229,409,47,22,.,.,,.,.,.,.,,.,.,4274,.,.,.,.,,11908,,,
2011-12,Nanded,511,Ardhapur,4099,.,681,379,.,.,.,.,.,417,63,3,3,.,.,,.,.,.,.,88,.,.,1200,.,.,.,,,12453,,,
2011-12,Nanded,511,Nanded,4100,.,705,991,.,.,.,.,.,861,100,21,14,.,.,,.,.,.,.,187,.,.,2048,.,.,.,,,9116,,,
2011-12,Nanded,511,Mudkhed,4101,,283,456,.,.,.,.,.,280,88,37,,.,.,,.,.,.,.,283,.,.,452,.,.,.,,5,11679,.,,
2011-12,Nanded,511,Bhokar,4102,,266,697,.,.,.,.,.,153,169,17,41,.,.,,.,.,.,.,30,,.,276,.,.,.,,46,3976,,7,
2011-12,Nanded,511,Umri,4103,.,182,889,.,.,.,.,.,125,106,26,48,.,.,.,.,.,.,.,30,.,.,660,.,.,.,,,,,,
2011-12,Nanded,511,Dharmabad,4104,,33,583,.,.,.,.,.,331,124,60,212,.,.,.,.,.,.,.,22,,.,470,.,.,.,,71,,,10,
2011-12,Nanded,511,Biloli,4105,,85,823,.,.,.,.,.,142,138,223,319,.,.,.,.,.,.,.,39,.,.,462,.,.,.,,114,,,,
2011-12,Nanded,511,Naigaon (Khairgaon),4106,,622,1872,.,.,.,.,.,139,138,91,169,.,.,.,.,.,.,.,35,,.,1591,.,.,.,,275,,,35,
2011-12,Nanded,511,Loha,4107,,443,1994,.,.,.,.,.,386,624,115,131,.,.,,.,.,.,.,,.,.,2076,.,.,.,.,17,3240,,,
2011-12,Nanded,511,Kandhar,4108,.,224,1891,.,.,.,.,.,,536,80,118,.,.,,.,.,.,.,,.,.,2097,.,.,.,.,,2742,,,.
2011-12,Nanded,511,Mukhed,4109,.,198,3136,.,.,.,.,.,308,719,275,770,.,.,,.,.,.,.,47,.,.,1790,.,.,.,,,535,,,
2011-12,Nanded,511,Deglur,4110,.,153,1506,.,.,.,.,.,384,252,224,241,.,.,.,.,.,.,.,,.,.,915,.,.,.,.,,,,,
