REFERENCE_YEAR,DISTRICT_NAME,DISTRICT_ID,TALUKA_NAME,TALUKA_ID,RICE,WHEAT/_Missing,JOWARR/_Missing,BAJRA/_Missing,BARLEY/_Missing,MAIZE/_Missing,RAGI,OTHR_CEREALS/_Missing,GRAM/_Missing,TUR/_Missing,MUNG/_Missing,UDID/_Missing,MASOOR/_Missing,OTR_PULSES/_Missing,SUGARCANE/_Missing,OTHER_SPICES/_Missing,COTTON/_Missing,MESTA/_Missing,LINSEED_JAWAS/_Missing,GROUNDNUTS/_Missing,SUNFLOWER/_Missing,SESAMUM/_Missing,SOYABEAN/_Missing,OTR_OILSEEDS/_Missing,TOBACCO/_Missing,MEDICINAL/_Missing,GROUNDNUTS
2011-12,Ratnagiri,528,Mandangad,4266,12342,.,.,.,.,.,918,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
2011-12,Ratnagiri,528,Dapoli,4267,26162,.,.,.,.,.,4453,.,.,.,.,.,.,.,.,.,.,.,.,,.,.,.,.,.,.,4
2011-12,Ratnagiri,528,Khed,4268,29531,.,.,.,.,.,1830,.,.,.,.,.,.,.,.,.,.,.,.,,.,.,.,.,.,.,31
2011-12,Ratnagiri,528,Chiplun,4269,32410,.,.,.,.,.,2284,.,.,.,.,.,.,.,.,.,.,.,.,,.,.,.,.,.,.,23
2011-12,Ratnagiri,528,Guhagar,4270,14545,.,.,.,.,.,3811,.,.,.,.,.,.,.,.,.,.,.,.,,.,.,.,.,.,.,271
2011-12,Ratnagiri,528,Ratnagiri,4271,23187,.,.,.,.,.,2618,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
2011-12,Ratnagiri,528,Sangameshwar,4272,37399,.,.,.,.,.,3835,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
2011-12,Ratnagiri,528,Lanja,4273,20728,.,.,.,.,.,1359,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
2011-12,Ratnagiri,528,Rajapur,4274,25238,.,.,.,.,.,2353,.,.,.,.,.,.,.,.,.,.,.,.,,.,.,.,.,.,.,11
2011-12,Ratnagiri,528,Districtlevel_Ratnagiri,9932,221847,.,.,.,.,.,23162,.,.,.,.,.,.,.,.,.,.,.,.,,.,.,.,.,.,.,345
