REFERENCE_YEAR,DISTRICT_NAME,DISTRICT_ID,TALUKA_NAME,TALUKA_ID,RICE,WHEAT,JOWARR,BAJRA,BARLEY,MAIZE,RAGI,OTHR_CEREALS,GRAM,TUR,MUNG,UDID,MASOOR,OTR_PULSES,SUGARCANE,OTHER_SPICES/_Missing,COTTON/_Missing,MESTA/_Missing,LINSEED_JAWAS,GROUNDNUTS,SUNFLOWER,SESAMUM/_Missing,SOYABEAN,OTR_OILSEEDS,TOBACCO/_Missing,MEDICINAL/_Missing
2011-12,Yavatmal,510,Ner,4079,0,2024,5158,7,0,0,0,0,2228,6469,308,91,0,0,0,.,.,.,0,0,2,.,19289,0,.,.
2011-12,Yavatmal,510,Babulgaon,4080,0,1334,1319,0,0,24,0,0,581,5311,178,66,0,0,0,.,.,.,0,0,0,.,25049,0,.,.
2011-12,Yavatmal,510,Kalamb,4081,0,998,3385,11,0,80,0,0,670,5665,17,8,0,0,0,.,.,.,0,0,1,.,18863,0,.,.
2011-12,Yavatmal,510,Yavatmal,4082,0,1751,8997,10,0,27,0,0,1894,5386,191,86,0,0,0,.,.,.,0,0,0,.,24737,0,.,.
2011-12,Yavatmal,510,Darwha,4083,0,695,8632,55,0,0,0,0,642,8004,361,289,0,0,2275,.,.,.,0,14,0,.,26797,0,.,.
2011-12,Yavatmal,510,Digras,4084,0,1022,3912,0,0,3,0,0,1628,1839,15,29,0,0,3510,.,.,.,0,0,0,.,18085,0,.,.
2011-12,Yavatmal,510,Pusad,4085,0,770,8945,22,0,30,0,0,2867,7201,1817,1778,0,0,95550,.,.,.,0,0,0,.,23427,0,.,.
2011-12,Yavatmal,510,Umarkhed,4086,0,3857,6660,18,0,13,0,0,10988,3572,653,529,0,0,226070,.,.,.,0,0,0,.,28760,0,.,.
2011-12,Yavatmal,510,Mahagaon,4087,0,3704,7677,0,0,0,0,0,4655,3859,1139,634,0,0,59345,.,.,.,0,0,0,.,20262,0,.,.
2011-12,Yavatmal,510,Arni,4088,0,8968,10410,0,0,0,0,0,3500,4283,224,191,0,0,0,.,.,.,0,0,18,.,17945,0,.,.
2011-12,Yavatmal,510,Ghatanji,4089,0,229,4712,0,0,30,0,0,977,4978,470,0,0,0,0,.,.,.,0,7,0,.,13451,0,.,.
2011-12,Yavatmal,510,Kelapur,4090,0,1207,5234,0,0,65,0,0,2718,3047,63,28,0,0,0,.,.,.,0,0,3,.,15366,0,.,.
2011-12,Yavatmal,510,Ralegaon,4091,0,1697,7685,5,0,35,0,0,1458,3216,0,0,0,0,0,.,.,.,0,0,0,.,16927,0,.,.
2011-12,Yavatmal,510,Maregaon,4092,0,1367,2274,0,0,0,0,0,1615,8090,41,0,0,0,0,.,.,.,0,0,0,.,11625,0,.,.
2011-12,Yavatmal,510,Zari-Jamani,4093,0,253,2529,0,0,30,0,0,776,3519,41,57,0,0,0,.,.,.,0,0,0,.,9173,0,.,.
2011-12,Yavatmal,510,Wani,4094,0,1856,1509,0,0,0,0,0,632,9113,0,0,0,0,0,.,.,.,0,0,0,.,17681,0,.,.
