TALUKA_NAME,target_crop,soil_moisture
Paithan,BAJRA,0.425562293
Dhule,BAJRA,0.372776401
Erandol,BAJRA,0.476110155
Amalner,BAJRA,0.520019625
Parola,BAJRA,0.473404258
Chalisgaon,BAJRA,0.467028833
Patoda,BAJRA,0.468706502
Wadwani,BAJRA,0.5165662
Dharur,BAJRA,0.35905499
Shindkhed,BAJRA,0.557257991
Deola,BAJRA,0.380313465
Baglan,BAJRA,0.576318233
Malegaon,BAJRA,0.454330884
Nandgaon,BAJRA,0.445443995
Chandvad,BAJRA,0.386906588
Sinnar,BAJRA,0.560055555
Yeola,BAJRA,0.499855164
Telhara,COTTON,0.964908339
Soegaon,COTTON,0.735367642
Aurangabad,COTTON,0.766871219
Vaijapur,COTTON,1.027009116
Gangapur,COTTON,0.871077145
Paithan,COTTON,0.708966047
Jalgaon (Jamod),COTTON,0.87965938
Sangrampur,COTTON,1.011943971
Shegaon,COTTON,0.840041395
Nandura,COTTON,0.953716444
Malkapur,COTTON,0.829419718
Motala,COTTON,0.79942867
Khamgaon,COTTON,0.823796133
Deolgaon Raja,COTTON,0.844391507
Dhule,COTTON,0.90380554
Chopda,COTTON,1.0165912
Yawal,COTTON,0.927116813
Raver,COTTON,0.72929129
Muktainagar,COTTON,0.917808787
Bodvad,COTTON,0.736272165
Bhusawal,COTTON,0.96891365
Erandol,COTTON,0.790986853
Dharangaon,COTTON,0.964455802
Amalner,COTTON,0.753369113
Parola,COTTON,0.99976201
Bhadgaon,COTTON,0.966775493
Chalisgaon,COTTON,0.914690002
Pachora,COTTON,1.01042813
Jamner,COTTON,0.903326336
Bhokardan,COTTON,0.809853335
Badnapur,COTTON,0.920412504
Mantha,COTTON,0.70069015
Himayatnagar,COTTON,0.79064777
Biloli,COTTON,0.711629845
Deglur,COTTON,0.716980892
Jintur,COTTON,0.952332647
Palam,COTTON,0.993530573
Daryapur,GRAM,0.696758339
Akot,GRAM,0.717554141
Daryapur,GRAM,0.542510297
Phulambri,GRAM,0.506600684
Latur,GRAM,0.725340932
Renapur,GRAM,0.60750302
Shirur Anantpal,GRAM,0.57974012
Ausa,GRAM,0.509327466
Deoni,GRAM,0.596098231
Udgir,GRAM,0.51954343
Jintur,GROUNDNUTS,0.815213954
Districtlevel_Raigarh,GROUNDNUTS,0.736090653
Aashti,JOWAR,0.58626597
Shirur,JOWAR,0.772453298
Georai,JOWAR,0.585768444
Beed,JOWAR,0.771832096
Sengaon,JOWAR,0.765277494
Hingoli,JOWAR,0.720975484
Aundha (Nagnath),JOWAR,0.58585756
Kalamnuri,JOWAR,0.74582148
Jalgaon,JOWAR,0.597311792
Mahoor,JOWAR,0.698784588
Kinwat,JOWAR,0.651701856
Hadgaon,JOWAR,0.513346588
Mukhed,JOWAR,0.676482402
Akrani,JOWAR,0.606849112
Soegaon,MAIZE,0.782908275
Sillod,MAIZE,0.86343776
Phulambri,MAIZE,0.87537503
Aurangabad,MAIZE,0.701281416
Khuldabad,MAIZE,0.872613071
Khuldabad,MAIZE,0.803828753
Vaijapur,MAIZE,0.801620594
Gangapur,MAIZE,0.888944374
Nandura,MAIZE,0.809855079
Malkapur,MAIZE,0.866541211
Motala,MAIZE,0.950507282
Deolgaon Raja,MAIZE,0.910651785
Akrani,MAIZE,0.757320522
Districtlevel_Solapur,MAIZE,0.896700681
Kannad,MAIZE,0.952175273
Sillod,MAIZE,0.868783365
Akkalkuwa,MAIZE,0.788392703
Kalvan,MAIZE,0.783228385
Paranda,MAIZE,0.891443355
Shirpur,MUNG,0.875090934
Sindkhede,MUNG,0.734727315
Dharni,OTHEROILSEEDS,0.47598251
Chikhaldara,OTHEROILSEEDS,0.452139243
Anjangaon Surji,OTHEROILSEEDS,0.300237115
Achalpur,OTHEROILSEEDS,0.522727233
Chandurbazar,OTHEROILSEEDS,0.415667954
Morshi,OTHEROILSEEDS,0.596043285
Teosa,OTHEROILSEEDS,0.47647743
Amravati,OTHEROILSEEDS,0.446580194
Bhatkuli,OTHEROILSEEDS,0.474887336
Nandgaon-Khandeshwar,OTHEROILSEEDS,0.303105698
Chandur Railway,OTHEROILSEEDS,0.587208396
Dhamangaon Railway,OTHEROILSEEDS,0.528360309
Surgana,RAGI,0.796091898
Dindori,RAGI,0.718001567
Mohadi,RICE,0.988490994
Bhandara,RICE,0.960160765
Sakoli,RICE,0.841107775
Lakhani,RICE,0.950642386
Pauni,RICE,0.873575076
Lakhandur,RICE,0.972295405
Desaiganj (Vadasa),RICE,0.97689798
Armori,RICE,0.822990931
Kurkheda,RICE,0.7338965
Korchi,RICE,0.702087305
Dhanora,RICE,0.700038344
Gadchiroli,RICE,0.836359394
Chamorshi,RICE,0.803715565
Mulchera,RICE,0.835529968
Etapalli,RICE,0.811809139
Bhamragad,RICE,0.847314375
Aheri,RICE,0.73835802
Sironcha,RICE,0.843039363
Parseoni,RICE,0.747554966
Ramtek,RICE,0.990503767
Mauda,RICE,0.794858337
Nagpur (Urban),RICE,0.889804192
Kuhi,RICE,0.839076294
Kuhi,RICE,0.995518443
Kuhi,RICE,0.946854546
Kuhi,RICE,0.79901325
Uran,RICE,0.742283819
Panvel,RICE,0.986073232
Karjat,RICE,0.808238745
Khalapur,RICE,0.810763912
Pen,RICE,0.90886746
Alibag,RICE,0.752924989
Murud,RICE,0.982199408
Roha,RICE,0.915058054
Sudhagad,RICE,0.900855078
Mangaon,RICE,0.810123302
Tala,RICE,0.922595277
Shrivardhan,RICE,0.949044097
Mhasla,RICE,0.872064819
Mahad,RICE,0.842941724
Poladpur,RICE,0.985053769
Mandangad,RICE,0.797597521
Dapoli,RICE,0.996306088
Khed,RICE,0.971836112
Chiplun,RICE,0.962943941
Guhagar,RICE,0.8371135
Ratnagiri,RICE,0.947375083
Sangameshwar,RICE,0.868599477
Lanja,RICE,0.734749443
Rajapur,RICE,0.999023746
Districtlevel_Ratnagiri,RICE,0.843479352
Shirala,RICE,0.979756789
Walwa,RICE,0.841924083
Palus,RICE,0.72957089
Kadegaon,RICE,0.815610352
Khanapur,RICE,0.990716341
Atpadi,RICE,0.931486025
Tasgaon,RICE,0.787922265
Miraj,RICE,0.830017663
Kavathemahankal,RICE,0.820072324
Kavathemahankal,RICE,0.923467977
Jat,RICE,0.885687995
0,RICE,0.993744864
Devgad,RICE,0.891231381
Vaibhavvadi,RICE,0.999095572
Kankavli,RICE,0.831009296
Malwan,RICE,0.800798765
Vengurla,RICE,0.73135798
Kudal,RICE,0.714251555
Sawantwadi,RICE,0.763000133
Dodamarg,RICE,0.721931962
Talasari,RICE,0.833947441
Dahanu,RICE,0.956636095
Vikramgad,RICE,0.815669453
Jawhar,RICE,0.90649536
Mokhada,RICE,0.827100941
Vada,RICE,0.776251808
Palghar,RICE,0.777579857
Palghar,RICE,0.943638702
Vasai,RICE,0.948695315
Thane,RICE,0.963243504
Bhiwandi,RICE,0.738110605
Shahapur,RICE,0.903206784
Kalyan,RICE,0.924317615
Ulhasnagar,RICE,0.978462279
Ambarnath,RICE,0.936787102
Murbad,RICE,0.823689155
Tumsar,RICE,0.841373965
Mohadi,RICE,0.734028809
Bandara,RICE,0.784698862
Sakoli,RICE,0.969666877
Lakhani,RICE,0.951684851
Pauni,RICE,0.955511703
Lakhandur,RICE,0.932464301
Warora,RICE,0.701041298
Chimur,RICE,0.918254392
Nagbhir,RICE,0.814645195
Brahmapuri,RICE,0.994153181
Sawali,RICE,0.99206294
Sindewahi,RICE,0.851163351
Bhadravati,RICE,0.719632958
Chandrapur,RICE,0.793813365
Mul,RICE,0.808160466
Pombhurna,RICE,0.910258293
Ballarpur,RICE,0.878914538
Korpana,RICE,0.965162442
Jiwati,RICE,0.883986577
Rajura,RICE,0.738100945
Gondpipri,RICE,0.772351264
Desaiganj (Vadasa),RICE,0.785211347
Armori,RICE,0.91920114
Kurkheda,RICE,0.784119491
Korchi,RICE,0.717059344
Dhanora,RICE,0.967552305
Gadchiroli,RICE,0.919398441
Chamorshi,RICE,0.989998782
Mulchera,RICE,0.869368326
Etapalli,RICE,0.819670522
Bhamragad,RICE,0.860682782
Aheri,RICE,0.738305557
Sironcha,RICE,0.873833654
Tirora,RICE,0.967328278
Goregaon,RICE,0.801399501
Gondiya,RICE,0.886744618
Amgaon,RICE,0.774594649
Salekasa,RICE,0.874179506
Sadak-Arjuni,RICE,0.997284123
Arjuni Morgaon,RICE,0.794232819
Deori,RICE,0.704254332
Shahuwadi,RICE,0.732449894
Panhala,RICE,0.761374638
Hatkanangle,RICE,0.701841645
Shirol,RICE,0.84636028
Karvir,RICE,0.843999638
